Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
39;28324;"Current Issues in Tourism";journal;"17477603, 13683500";"Taylor and Francis Ltd.";No;No;1,703;Q1;123;553;788;36351;7624;619;8,31;65,73;41,09;2;286;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2025";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
40;21100899442;"Comparative Migration Studies";journal;"2214594X";"SpringerOpen";Yes;No;1,693;Q1;39;59;135;3921;815;124;3,88;66,46;55,56;2;41;Switzerland;Western Europe;"SpringerOpen";"2013-2025";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
41;14424;"European Societies";journal;"14616696, 14698307";"Routledge";No;No;1,592;Q1;59;63;146;3783;920;141;2,56;60,05;45,74;5;36;United Kingdom;Western Europe;"Routledge";"2001, 2005-2024";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
42;21100220478;"Urban Climate";journal;"22120955";"Elsevier B.V.";No;No;1,563;Q1;88;467;995;32656;7827;993;7,82;69,93;35,60;0;414;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Atmospheric Science (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
43;21101063742;"Earth System Governance";journal;"25898116";"Elsevier B.V.";Yes;No;1,539;Q1;23;25;100;1867;588;87;5,00;74,68;51,46;2;22;Netherlands;Western Europe;"Elsevier B.V.";"2019-2025";"Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
44;21100312211;"Climate Risk Management";journal;"22120963";"Elsevier B.V.";Yes;No;1,538;Q1;56;95;298;7218;1937;297;5,95;75,98;43,28;3;93;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1)";"Earth and Planetary Sciences; Environmental Science; Social Sciences"
45;22857;"Political Geography";journal;"09626298";"Elsevier B.V.";No;No;1,524;Q1;120;169;485;12263;2188;443;4,09;72,56;37,50;5;78;United Kingdom;Western Europe;"Elsevier B.V.";"1983, 1992-2025";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
46;5700168527;"Sustainability: Science, Practice, and Policy";journal;"15487733";"Taylor and Francis Ltd.";Yes;No;1,519;Q1;39;50;127;3571;810;127;5,55;71,42;56,20;0;39;United States;Northern America;"Taylor and Francis Ltd.";"2009-2025";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Environmental Science; Social Sciences"
47;5400152621;"Sustainability Science";journal;"18624065, 18624057";"Springer";No;No;1,515;Q1;96;169;501;12832;3107;476;5,47;75,93;48,69;14;118;Japan;Asiatic Region;"Springer";"2006-2025";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
48;13934;"Journal of the American Planning Association";journal;"01944363";"Taylor and Francis Ltd.";No;No;1,508;Q1;119;80;153;4608;675;124;3,96;57,60;49,44;5;61;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1935-2025";"Development (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
49;28040;"International Journal of Geographical Information Science";journal;"13658816, 13658824";"Taylor and Francis Ltd.";No;No;1,502;Q1;141;131;302;7722;2018;297;5,87;58,95;33,54;0;51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2025";"Geography, Planning and Development (Q1); Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
50;21100463801;"Annals of the American Association of Geographers";journal;"24694460, 24694452";"Taylor and Francis Ltd.";No;No;1,486;Q1;147;146;375;10249;1744;370;4,02;70,20;37,18;1;78;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2025";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Social Sciences"
51;21101093005;"Environment and Planning E: Nature and Space";journal;"25148486, 25148494";"SAGE Publications Inc.";No;No;1,468;Q1;35;132;325;11616;1547;318;4,41;88,00;52,65;0;101;United States;Northern America;"SAGE Publications Inc.";"2018-2025";"Development (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Environmental Science; Social Sciences"
52;21101196721;"ISPRS Open Journal of Photogrammetry and Remote Sensing";journal;"26673932";"Elsevier B.V.";Yes;No;1,463;Q1;15;25;44;1414;288;44;5,63;56,56;22,31;0;5;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Atomic and Molecular Physics, and Optics (Q1); Computers in Earth Sciences (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Physics and Astronomy; Social Sciences"
53;29102;"Health and Place";journal;"18732054, 13538292";"Elsevier Ltd";No;No;1,456;Q1;144;180;534;12346;2642;531;4,65;68,59;59,98;3;111;United Kingdom;Western Europe;"Elsevier Ltd";"1995-2025";"Geography, Planning and Development (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
