Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
36;22238;"Operations Research";journal;"0030364X, 15265463";"INFORMS Institute for Operations Research and the Management Sciences";No;No;2,557;Q1;166;153;429;7672;1427;427;3,19;50,14;21,93;4;20;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2025";"Computer Science Applications (Q1); Management Science and Operations Research (Q1)";"Computer Science; Decision Sciences"
37;20909;"Transportation Research Part E: Logistics and Transportation Review";journal;"13665545";"Elsevier Ltd";No;No;2,513;Q1;156;350;843;22914;9421;839;10,06;65,47;31,99;1;172;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2025";"Business and International Management (Q1); Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
38;21100338350;"IEEE Internet of Things Journal";journal;"23274662";"Institute of Electrical and Electronics Engineers Inc.";No;No;2,483;Q1;208;3532;4971;157415;58046;4946;10,62;44,57;29,00;0;921;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Information Systems and Management (Q1); Signal Processing (Q1)";"Computer Science; Decision Sciences"
39;21100787106;"Journal of Industrial Information Integration";journal;"2452414X";"Elsevier B.V.";No;No;2,445;Q1;62;152;223;10986;3806;222;15,84;72,28;25,24;1;85;Netherlands;Western Europe;"Elsevier B.V.";"2016-2025";"Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1)";"Decision Sciences; Engineering"
40;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";"Academic Press";No;No;2,426;Q1;91;89;177;8632;1393;166;6,62;96,99;36,84;2;40;United States;Northern America;"Academic Press";"1990-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
41;21933;"Decision Support Systems";journal;"01679236";"Elsevier B.V.";No;No;2,366;Q1;192;180;318;11962;3548;315;9,63;66,46;28,33;1;27;Netherlands;Western Europe;"Elsevier B.V.";"1985-2025";"Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Arts and Humanities; Business, Management and Accounting; Computer Science; Decision Sciences; Psychology"
42;11200153507;"Journal of Mixed Methods Research";journal;"15586898, 15586901";"SAGE Publications Ltd";No;No;2,328;Q1;71;49;90;1892;517;66;6,32;38,61;59,56;0;11;United States;Northern America;"SAGE Publications Ltd";"2007-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
43;21915;"Omega (United Kingdom)";journal;"03050483";"Elsevier B.V.";No;No;2,308;Q1;175;159;489;9256;4345;489;8,55;58,21;27,31;1;52;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2025";"Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
44;21101081610;"International Journal of Information Management Data Insights";journal;"26670968";"Elsevier B.V.";Yes;No;2,302;Q1;48;92;202;7510;3662;201;15,11;81,63;27,94;0;34;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Social Sciences"
45;27656;"International Journal of Production Research";journal;"00207543, 1366588X";"Taylor and Francis Ltd.";No;No;2,242;Q1;201;610;1202;39596;14058;1181;10,94;64,91;27,85;4;267;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1961, 1963-1968, 1970-2025";"Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Engineering"
